ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
GI_14150057-S	6.37e-04	2.98e-04	-3.651.913	-0.40388	-0.1433361	FBXW9	F-box and WD repeat domain containing 9
GI_44771210-S	6.38e-04	2.99e-04	3.651.378	-0.40575	0.2657354	MED13L	mediator complex subunit 13 like
GI_5902039-S	6.43e-04	3.01e-04	-3.649.265	-0.41314	-0.1115882	RABL2B	RAB, member of RAS oncogene family-like 2B
GI_24638432-S	6.51e-04	3.05e-04	3.645.779	-0.42532	0.1115908	NCSTN	nicastrin
GI_24497491-S	6.54e-04	3.07e-04	364.462	-0.42936	0.2473257	SLC22A5	solute carrier family 22 member 5
GI_5454161-S	6.54e-04	3.07e-04	3.644.464	-0.4299	0.4025356	TXNIP	thioredoxin interacting protein
GI_29029596-S	6.56e-04	3.08e-04	3.643.442	-0.43347	0.2384875	GRIK5	glutamate ionotropic receptor kainate type subunit 5
GI_19923714-S	6.57e-04	3.08e-04	3.642.953	-0.43518	0.1771626	IL17D	interleukin 17D
GI_4885590-S	6.58e-04	3.09e-04	36.427	-0.43606	0.3407158	SEPP1	selenoprotein P, plasma, 1
GI_37537700-S	6.58e-04	3.09e-04	-3.642.643	-0.43626	-0.1187758	PPP6R2	protein phosphatase 6 regulatory subunit 2
GI_24797146-S	6.58e-04	3.09e-04	-3.642.578	-0.43649	-0.1978795	SEPHS2	selenophosphate synthetase 2
GI_30158015-S	6.58e-04	3.09e-04	-3.642.498	-0.43676	-0.372433	LRRC4C	leucine rich repeat containing 4C
GI_14150170-S	6.59e-04	3.10e-04	-3.642.059	-0.4383	-0.2194255	THOC3	THO complex 3
GI_34147490-S	6.61e-04	3.11e-04	-3.640.831	-0.44258	-0.1333175	ATG3	autophagy related 3
GI_19913435-S	6.62e-04	3.11e-04	3.640.471	-0.44384	0.1842175	ATP6V0E1	ATPase H+ transporting V0 subunit e1
GI_13129023-S	6.72e-04	3.16e-04	-3.636.435	-0.4579	-0.1485024	C7orf25	chromosome 7 open reading frame 25
GI_39930374-S	6.74e-04	3.17e-04	3.635.469	-0.46126	0.3888958	ENAH	enabled homolog (Drosophila)
GI_5803006-S	6.76e-04	3.18e-04	-3.634.884	-0.4633	-0.2134672	DNASE1L1	deoxyribonuclease 1 like 1
GI_21362100-S	6.76e-04	3.18e-04	3.634.816	-0.46354	0.2895099	SMURF2	SMAD specific E3 ubiquitin protein ligase 2
GI_16117780-I	6.76e-04	3.18e-04	3.634.673	-0.46404	0.4012598	FBXW7	F-box and WD repeat domain containing 7
GI_27765098-S	6.77e-04	3.19e-04	-3.634.309	-0.4653	-0.2148443	ST3GAL2	ST3 beta-galactoside alpha-2,3-sialyltransferase 2
GI_42716296-S	6.77e-04	3.19e-04	3.634.006	-0.46636	0.1892188	CLU	clusterin
GI_31341936-S	6.77e-04	3.19e-04	3.633.998	-0.46638	0.3381816	C1orf64	chromosome 1 open reading frame 64
GI_37552316-S	6.81e-04	3.21e-04	3.632.396	-0.47196	0.3137584	MIDN	midnolin
GI_12025666-S	6.81e-04	3.21e-04	3.632.386	-0.472	0.4371286	CLCA4	chloride channel accessory 4
GI_37577133-S	6.81e-04	3.21e-04	-363.228	-0.47236	-0.185227	UBE2M	ubiquitin conjugating enzyme E2 M
GI_18765695-A	6.83e-04	3.22e-04	-3.631.413	-0.47538	-0.1397145	DPP6	dipeptidyl peptidase like 6
GI_16306535-S	6.86e-04	3.23e-04	3.630.305	-0.47924	0.4100332	CDH19	cadherin 19
GI_37542859-S	6.96e-04	3.28e-04	3.626.267	-0.49327	0.2782361	ANO6	anoctamin 6
GI_21071064-A	6.97e-04	3.29e-04	3.625.676	-0.49532	0.248271	TAF5	TATA-box binding protein associated factor 5
GI_20544143-A	6.98e-04	3.29e-04	3.625.372	-0.49638	0.1287143	CSNK1D	casein kinase 1 delta
GI_4758487-S	7.00e-04	3.31e-04	-3.624.481	-0.49948	-0.1382006	GTF2F2	general transcription factor IIF subunit 2
GI_32261299-S	7.00e-04	3.31e-04	3.624.418	-0.49969	0.1450291	CYHR1	cysteine and histidine rich 1
GI_32171246-I	7.01e-04	3.31e-04	3.624.072	-0.5009	0.2811742	CCNY	cyclin Y
GI_27734708-S	7.06e-04	3.34e-04	-3.621.924	-0.50835	-0.0899987	NOMO2	NODAL modulator 2
GI_42542393-S	7.06e-04	3.34e-04	3.621.887	-0.50848	0.200636	LPCAT3	lysophosphatidylcholine acyltransferase 3
GI_20302150-S	7.07e-04	3.34e-04	3.621.374	-0.51026	0.1488209	PLA2G15	phospholipase A2 group XV
GI_44890060-S	7.10e-04	3.36e-04	3.620.447	-0.51347	0.1623103	PPIB	peptidylprolyl isomerase B
GI_14150030-S	7.15e-04	3.38e-04	-3.618.154	-0.52143	-0.1320402	LDOC1L	leucine zipper down-regulated in cancer 1 like
GI_40789228-S	7.21e-04	3.41e-04	3.616.006	-0.52887	0.3112755	SCAF4	SR-related CTD associated factor 4
GI_19224662-S	7.21e-04	3.41e-04	-3.615.892	-0.52927	-0.3151589	TCEAL2	transcription elongation factor A like 2
GI_42661669-S	7.22e-04	3.42e-04	361.565	-0.53011	0.274154		
GI_30794221-S	7.24e-04	3.43e-04	3.614.876	-0.53279	0.1144544	BTBD6	BTB domain containing 6
GI_40354191-S	7.24e-04	3.43e-04	3.614.744	-0.53324	0.1321364	KRT10	keratin 10
GI_27477112-S	7.24e-04	3.43e-04	3.614.392	-0.53446	0.1677601	SREBF2	sterol regulatory element binding transcription factor 2
GI_4885348-S	7.25e-04	3.43e-04	3.614.208	-0.5351	0.1735581	GRK5	G protein-coupled receptor kinase 5
GI_45504399-S	7.26e-04	3.44e-04	3.613.542	-0.53741	0.275575	PARP16	poly(ADP-ribose) polymerase family member 16
GI_31543213-S	7.27e-04	3.44e-04	3.613.445	-0.53774	0.3499219	MT1X	metallothionein 1X
GI_21396499-S	7.27e-04	3.45e-04	3.613.259	-0.53839	0.1477454	HIRIP3	HIRA interacting protein 3
GI_21389390-S	7.30e-04	3.47e-04	-3.611.838	-0.54331	-0.1185217	FOPNL	FGFR1OP N-terminal like
GI_6598316-S	7.39e-04	3.51e-04	3.608.533	-0.55474	0.1848591	ACAA1	acetyl-CoA acyltransferase 1
GI_13376227-S	7.41e-04	3.52e-04	-3.607.923	-0.55685	-0.2097227	HDAC11	histone deacetylase 11
GI_34147386-S	7.41e-04	3.52e-04	3.607.748	-0.55745	0.3177038	EFHD1	EF-hand domain family member D1
GI_20336262-I	7.42e-04	3.52e-04	3.607.427	-0.55857	0.2183484	GGA2	golgi associated, gamma adaptin ear containing, ARF binding protein 2
GI_38045953-S	7.45e-04	3.54e-04	3.606.207	-0.56278	0.0987169	ZNF16	zinc finger protein 16
GI_31377794-S	7.48e-04	3.55e-04	-360.513	-0.5665	-0.1040963	CALM1	calmodulin 1
GI_32528264-A	7.49e-04	3.56e-04	3.604.682	-0.56805	0.1843791	CDK10	cyclin dependent kinase 10
GI_31377719-S	7.52e-04	3.58e-04	3.603.345	-0.57267	0.2585828	PLEKHA1	pleckstrin homology domain containing A1
GI_4809273-S	7.54e-04	3.58e-04	3.602.741	-0.57476	0.2390426	ANXA5	annexin A5
GI_7661741-S	7.56e-04	3.60e-04	-3.601.828	-0.57791	-0.1351185	C19orf53	chromosome 19 open reading frame 53
GI_38490555-S	7.65e-04	3.64e-04	3.598.822	-0.58828	0.11043	VPS37C	VPS37C, ESCRT-I subunit
GI_9507202-S	7.76e-04	3.69e-04	3.594.902	-0.6018	0.2981574	TREM2	triggering receptor expressed on myeloid cells 2
GI_14769619-S	7.78e-04	3.70e-04	-3.594.043	-0.60476	-0.2014926	BHLHB9	basic helix-loop-helix domain containing, class B, 9
GI_33147083-S	7.79e-04	3.71e-04	3.593.721	-0.60587	0.1531712	CDAN1	codanin 1
GI_14249457-S	7.90e-04	3.76e-04	3.589.802	-0.61936	0.2572148	PARP10	poly(ADP-ribose) polymerase family member 10
GI_44680134-A	7.92e-04	3.77e-04	-3.588.948	-0.6223	-0.1712858	BDH1	3-hydroxybutyrate dehydrogenase, type 1
GI_14249177-S	7.92e-04	3.77e-04	3.588.899	-0.62247	0.2438856	SPSB2	splA/ryanodine receptor domain and SOCS box containing 2
GI_22749220-S	7.93e-04	3.78e-04	-3.588.509	-0.62381	-0.22771	SPRED1	sprouty related EVH1 domain containing 1
GI_34098958-S	7.95e-04	3.79e-04	-3.587.698	-0.6266	-0.1842146	CYP2U1	cytochrome P450 family 2 subfamily U member 1
GI_24308042-S	7.96e-04	3.79e-04	3.587.435	-0.62751	0.1962527	AHCYL2	adenosylhomocysteinase like 2
GI_20336471-S	8.02e-04	3.82e-04	3.585.403	-0.63449	0.2961812	BCL3	B-cell CLL/lymphoma 3
GI_11038642-A	8.03e-04	3.83e-04	-3.584.933	-0.63611	-0.1232888	AP2S1	adaptor related protein complex 2 sigma 1 subunit
GI_7661835-S	8.08e-04	3.85e-04	-3.583.197	-0.64207	-0.2667241	ATP5S	ATP synthase, H+ transporting, mitochondrial Fo complex subunit s (factor B)
GI_21914861-A	8.08e-04	3.86e-04	3.583.003	-0.64274	0.1530793	CECR5	cat eye syndrome chromosome region, candidate 5
GI_4758043-S	8.12e-04	3.87e-04	-3.581.739	-0.64708	-0.1387235	COX8A	cytochrome c oxidase subunit 8A
GI_19923898-S	8.18e-04	3.90e-04	3.579.668	-0.65419	0.178879	CEP95	centrosomal protein 95
GI_4826921-S	8.18e-04	3.90e-04	-3.579.666	-0.6542	-0.2174664	EXOSC9	exosome component 9
GI_38371738-S	8.18e-04	3.91e-04	-35.794	-0.65511	-0.2348267	RAB15	RAB15, member RAS oncogene family
GI_34452719-S	8.28e-04	3.96e-04	3.576.002	-0.66677	0.1193414	CRKL	CRK like proto-oncogene, adaptor protein
GI_14589915-I	8.28e-04	3.96e-04	-3.575.905	-0.6671	-0.3008465	PCDH10	protocadherin 10
GI_15451934-I	8.29e-04	3.96e-04	3.575.802	-0.66746	0.3540525	CDC14B	cell division cycle 14B
GI_6005793-S	8.30e-04	3.97e-04	-3.575.294	-0.6692	-0.1873925	PRAF2	PRA1 domain family member 2
GI_4557256-S	8.30e-04	3.97e-04	357.511	-0.66983	0.1750232	ADCY8	adenylate cyclase 8
GI_25121935-I	8.34e-04	3.99e-04	3.573.852	-0.67414	0.2548585	RASAL2	RAS protein activator like 2
GI_8051634-S	8.34e-04	3.99e-04	357.384	-0.67418	0.1681993	XPO1	exportin 1
GI_34147639-S	8.38e-04	4.01e-04	-3.572.234	-0.67969	-0.1328332	DUS2	dihydrouridine synthase 2
GI_20143978-S	8.42e-04	4.03e-04	-3.571.144	-0.68342	-0.3853199	ATR	ATR serine/threonine kinase
GI_40254910-S	8.42e-04	4.03e-04	-3.570.925	-0.68417	-0.2240901		
GI_4557009-S	8.43e-04	4.04e-04	-3.570.602	-0.68528	-0.2338555	ACP2	acid phosphatase 2, lysosomal
GI_37549332-S	8.44e-04	4.05e-04	3.570.057	-0.68714	0.2455588		
GI_32307141-I	8.45e-04	4.05e-04	3.569.805	-0.68801	0.2601544	PITPNC1	phosphatidylinositol transfer protein, cytoplasmic 1
GI_32455265-A	8.49e-04	4.07e-04	3.568.321	-0.69309	0.1330511	PRDX1	peroxiredoxin 1
GI_24431995-S	8.50e-04	4.08e-04	-3.567.966	-0.6943	-0.1828778	SH3GLB2	SH3 domain containing GRB2 like endophilin B2
GI_34304373-S	8.52e-04	4.09e-04	-3.567.204	-0.69691	-0.1931861	CDK5R1	cyclin dependent kinase 5 regulatory subunit 1
GI_5453631-S	8.54e-04	4.09e-04	3.566.771	-0.69839	0.1765162	SPAG5	sperm associated antigen 5
GI_13442997-S	8.54e-04	4.10e-04	3.566.689	-0.69867	0.3438165	DPF3	double PHD fingers 3
GI_10190747-S	8.54e-04	4.10e-04	3.566.661	-0.69876	0.4055299	SCUBE2	signal peptide, CUB domain and EGF like domain containing 2
GI_4755138-S	8.59e-04	4.13e-04	3.564.683	-0.70553	0.1417458	INPP1	inositol polyphosphate-1-phosphatase
GI_34303918-S	8.59e-04	4.13e-04	3.564.646	-0.70566	0.224157	ZFYVE27	zinc finger FYVE-type containing 27
GI_18104977-S	8.60e-04	4.13e-04	3.564.369	-0.7066	0.2050374	PTPN1	protein tyrosine phosphatase, non-receptor type 1
GI_15451872-S	8.66e-04	4.16e-04	3.562.341	-0.71353	0.2820664	B3GALT4	beta-1,3-galactosyltransferase 4
GI_20986498-A	8.69e-04	4.17e-04	3.561.517	-0.71635	0.1690449	MAPK7	mitogen-activated protein kinase 7
GI_18699721-S	8.69e-04	4.18e-04	3.561.312	-0.71705	0.3198846	SHROOM3	shroom family member 3
GI_13430867-S	8.70e-04	4.18e-04	-3.560.987	-0.71816	-0.3794623	SLC25A23	solute carrier family 25 member 23
GI_8923850-I	8.70e-04	4.18e-04	3.560.965	-0.71824	0.3553142	ZNF302	zinc finger protein 302
GI_39930352-S	8.73e-04	4.20e-04	-3.559.957	-0.72168	-0.2295118	SKIV2L2	Ski2 like RNA helicase 2
GI_39930348-S	8.73e-04	4.20e-04	3.559.812	-0.72217	0.3180549	SEL1L3	SEL1L family member 3
GI_40317631-S	8.76e-04	4.21e-04	-3.558.994	-0.72497	-0.2491909	NUDT4	nudix hydrolase 4
GI_27477110-S	8.77e-04	4.22e-04	3.558.407	-0.72697	0.1392902	SLU7	SLU7 homolog, splicing factor
GI_13128861-S	8.78e-04	4.23e-04	-3.558.076	-0.7281	-0.1261558	HDAC3	histone deacetylase 3
GI_37059724-S	8.78e-04	4.23e-04	3.558.063	-0.72814	0.1398217	TMEM106C	transmembrane protein 106C
GI_41327759-S	8.78e-04	4.23e-04	-3.557.858	-0.72885	-0.1880446	ATP9B	ATPase phospholipid transporting 9B (putative)
GI_37538393-S	8.79e-04	4.24e-04	3.557.521	-0.72999	0.1589183	RP9	retinitis pigmentosa 9 (autosomal dominant)
GI_24307946-S	8.85e-04	4.27e-04	-3.555.612	-0.73651	-0.1680379	HABP4	hyaluronan binding protein 4
GI_21536352-S	8.92e-04	4.30e-04	-3.553.586	-0.74342	-0.1464058	ACTL6B	actin like 6B
GI_13994260-S	8.94e-04	4.31e-04	-3.552.664	-0.74656	-0.2587167	MRPL32	mitochondrial ribosomal protein L32
GI_17978496-A	8.96e-04	4.32e-04	3.552.269	-0.74791	0.393931	CDKN1A	cyclin dependent kinase inhibitor 1A
GI_34222107-S	8.97e-04	4.33e-04	3.551.822	-0.74943	0.1636502	STK36	serine/threonine kinase 36
GI_7019334-S	9.02e-04	4.35e-04	3.550.128	-0.7552	0.3802014	MYRF	myelin regulatory factor
GI_28872789-I	9.07e-04	4.38e-04	3.548.725	-0.75998	0.2510228		
GI_23957707-S	9.11e-04	4.40e-04	-3.547.439	-0.76436	-0.2475957	LPCAT4	lysophosphatidylcholine acyltransferase 4
GI_23110945-A	9.11e-04	4.40e-04	3.547.151	-0.76534	0.1041321	PSMA7	proteasome subunit alpha 7
GI_32698791-S	9.12e-04	4.41e-04	3.546.848	-0.76637	0.2633669	POLN	DNA polymerase nu
GI_21040361-A	9.12e-04	4.41e-04	3.546.763	-0.76666	0.2898597	BACE2	beta-site APP-cleaving enzyme 2
GI_8922786-S	9.15e-04	4.42e-04	3.545.931	-0.76949	0.2336493	ECHDC2	enoyl-CoA hydratase domain containing 2
GI_19923288-S	9.21e-04	4.45e-04	3.543.956	-0.77621	0.1367459	PIK3CD	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta
GI_28603839-S	9.23e-04	4.46e-04	-3.543.295	-0.77845	-0.183619	BLOC1S2	biogenesis of lysosomal organelles complex 1 subunit 2
GI_39753966-S	9.25e-04	4.47e-04	-3.542.833	-0.78002	-0.2321684	CSPG5	chondroitin sulfate proteoglycan 5
GI_45580726-S	9.27e-04	4.48e-04	-3.542.184	-0.78223	-0.1751286	MAP1A	microtubule associated protein 1A
GI_30089925-I	9.27e-04	4.48e-04	-3.542.065	-0.78263	-0.1612153	FBXO11	F-box protein 11
GI_34577109-I	9.29e-04	4.50e-04	-3.541.348	-0.78507	-0.3715862	ALDOA	aldolase, fructose-bisphosphate A
GI_34222124-S	9.30e-04	4.50e-04	354.106	-0.78605	0.2257184	FAM78A	family with sequence similarity 78 member A
GI_13375645-S	9.31e-04	4.51e-04	-3.540.746	-0.78712	-0.2191894	LRFN3	leucine rich repeat and fibronectin type III domain containing 3
GI_14210505-S	9.35e-04	4.53e-04	-3.539.372	-0.79178	-0.2099667	ZC3H8	zinc finger CCCH-type containing 8
GI_38788307-S	9.38e-04	4.54e-04	3.538.556	-0.79456	0.1437103	GNE	glucosamine (UDP-N-acetyl)-2-epimerase/N-acetylmannosamine kinase
GI_40788000-I	9.38e-04	4.55e-04	3.538.344	-0.79528	0.1969457	SPRY1	sprouty RTK signaling antagonist 1
GI_24496766-S	9.39e-04	4.55e-04	3.537.925	-0.7967	0.1131711	HGS	hepatocyte growth factor-regulated tyrosine kinase substrate
GI_11096339-S	9.41e-04	4.56e-04	3.537.328	-0.79873	0.2432899	CLDND1	claudin domain containing 1
GI_13699869-S	9.48e-04	4.60e-04	3.535.344	-0.80546	0.3635144	MTHFD2	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase
GI_45331212-S	9.52e-04	4.62e-04	-3.534.046	-0.80986	-0.3554661	RANBP6	RAN binding protein 6
GI_34222356-S	9.54e-04	4.63e-04	3.533.371	-0.81215	0.1214448	SWT1	SWT1, RNA endoribonuclease homolog
GI_19718745-A	9.54e-04	4.63e-04	-3.533.312	-0.81235	-0.2317164	OSBPL1A	oxysterol binding protein like 1A
GI_31745175-S	9.67e-04	4.70e-04	3.529.469	-0.82538	0.3669165	FAM178B	family with sequence similarity 178 member B
GI_23821012-S	9.68e-04	4.70e-04	352.922	-0.82622	0.1249953	ZNF777	zinc finger protein 777
GI_42476271-S	9.68e-04	4.70e-04	35.291	-0.82663	0.1843348	ZNF513	zinc finger protein 513
GI_32171224-S	9.70e-04	4.71e-04	-3.528.637	-0.82819	-0.1517008	COQ3	coenzyme Q3, methyltransferase
GI_20336745-A	9.74e-04	4.73e-04	-3.527.222	-0.83299	-0.1083424	H2AFY	H2A histone family member Y
GI_22538460-S	9.76e-04	4.74e-04	3.526.606	-0.83507	0.1612771	NCOR1	nuclear receptor corepressor 1
GI_7657260-S	9.83e-04	4.78e-04	-3.524.571	-0.84196	-0.2419897	RAPGEF2	Rap guanine nucleotide exchange factor 2
GI_21361764-S	9.83e-04	4.78e-04	-352.451	-0.84216	-0.108726	FOXRED1	FAD dependent oxidoreductase domain containing 1
GI_40068478-S	9.92e-04	4.82e-04	3.522.099	-0.85032	0.1723414	MRM1	mitochondrial rRNA methyltransferase 1
GI_30017464-S	9.96e-04	4.84e-04	3.520.941	-0.85423	0.1224459		
GI_42794610-S	9.99e-04	4.86e-04	3.519.901	-0.85775	0.1645442	PGLS	6-phosphogluconolactonase
GI_24308325-S	1.00e-03	4.89e-04	3.518.423	-0.86274	0.2079923	BRSK1	BR serine/threonine kinase 1
GI_8923540-S	1.01e-03	4.90e-04	-3.517.844	-0.8647	-0.165411	C1orf123	chromosome 1 open reading frame 123
GI_21361817-S	1.01e-03	4.94e-04	-351.577	-0.8717	-0.280686	KLHL7	kelch like family member 7
GI_37541634-S	1.02e-03	4.94e-04	3.515.315	-0.87323	0.2370762	NUP160	nucleoporin 160
GI_5453761-S	1.02e-03	4.96e-04	-351.458	-0.87572	-0.4690224	NEFL	neurofilament, light polypeptide
GI_20149672-A	1.03e-03	5.01e-04	-3.511.707	-0.88541	-0.1469121	SLC30A5	solute carrier family 30 member 5
GI_4826879-S	1.03e-03	5.02e-04	-3.511.263	-0.8869	-0.1329677	OXA1L	OXA1L, mitochondrial inner membrane protein
GI_41281511-S	1.03e-03	5.02e-04	-3.511.172	-0.88721	-0.1816563	PJA2	praja ring finger ubiquitin ligase 2
GI_21553330-S	1.04e-03	5.06e-04	-3.508.804	-0.89519	-0.2050618	SLC2A12	solute carrier family 2 member 12
GI_31542500-S	1.04e-03	5.09e-04	3.507.376	-0.9	0.2447399	DEF6	DEF6, guanine nucleotide exchange factor
GI_6912497-S	1.05e-03	5.11e-04	350.634	-0.90349	0.1789789	MLYCD	malonyl-CoA decarboxylase
GI_40254853-S	1.05e-03	5.13e-04	-3.505.319	-0.90693	-0.1592434	FAM131B	family with sequence similarity 131 member B
GI_7661619-S	1.05e-03	5.13e-04	-3.505.152	-0.90749	-0.3442736	HIGD1A	HIG1 hypoxia inducible domain family member 1A
GI_4809275-A	1.06e-03	5.18e-04	-3.502.309	-0.91705	-0.2489763		
GI_45439364-S	1.08e-03	5.26e-04	3.498.224	-0.93079	0.1560716	MFSD13A	major facilitator superfamily domain containing 13A
GI_21359954-S	1.08e-03	5.27e-04	3.497.773	-0.9323	0.142061	SECISBP2	SECIS binding protein 2
GI_14249519-S	1.08e-03	5.29e-04	-3.496.817	-0.93551	-0.1142116	FAM136A	family with sequence similarity 136 member A
GI_42660339-S	1.08e-03	5.30e-04	3.496.308	-0.93722	0.2886229		
GI_22538447-S	1.09e-03	5.33e-04	-3.494.851	-0.94211	-0.2427175	PIGB	phosphatidylinositol glycan anchor biosynthesis class B
GI_45433553-S	1.09e-03	5.35e-04	349.357	-0.94641	0.3097496		
GI_6031156-S	1.10e-03	5.36e-04	349.322	-0.94759	0.3439533	ADORA3	adenosine A3 receptor
GI_38348409-S	1.10e-03	5.36e-04	-3.492.927	-0.94857	-0.2730364	SIMC1	SUMO interacting motifs containing 1
GI_13375617-S	1.10e-03	5.40e-04	-349.116	-0.9545	-0.2247011	DHCR24	24-dehydrocholesterol reductase
GI_8567387-S	1.11e-03	5.41e-04	3.490.573	-0.95647	0.2271681	PER3	period circadian clock 3
GI_27734956-S	1.11e-03	5.42e-04	3.489.875	-0.9588	0.4986443	FSIP2	fibrous sheath interacting protein 2
GI_41152096-S	1.11e-03	5.43e-04	348.958	-0.95979	0.1203299	AKAP17A	A-kinase anchoring protein 17A
GI_24308070-S	1.11e-03	5.45e-04	-3.488.402	-0.96374	-0.3657082	CNRIP1	cannabinoid receptor interacting protein 1
GI_6671584-S	1.11e-03	5.46e-04	3.487.876	-0.9655	0.1813895	ATF6	activating transcription factor 6
GI_41150284-S	1.12e-03	5.49e-04	3.486.453	-0.97027	0.304267		
GI_37539011-S	1.12e-03	5.51e-04	3.485.684	-0.97284	0.336548		
GI_4758219-S	1.12e-03	5.51e-04	3.485.603	-0.97312	0.1402945	FAM50A	family with sequence similarity 50 member A
GI_34915997-S	1.13e-03	5.55e-04	3.483.341	-0.98069	0.2314373		
GI_21264582-S	1.13e-03	5.56e-04	3.482.949	-0.982	0.3729612	TSPAN5	tetraspanin 5
GI_33519477-S	1.14e-03	5.58e-04	-3.482.127	-0.98475	-0.226895	EIF1AX	eukaryotic translation initiation factor 1A, X-linked
GI_33519443-A	1.14e-03	5.58e-04	348.195	-0.98534	0.2221686	ASIC4	acid sensing ion channel subunit family member 4
GI_31543989-S	1.14e-03	5.61e-04	3.480.698	-0.98953	0.1824341	ZNF443	zinc finger protein 443
GI_7657561-S	1.15e-03	5.64e-04	3.478.912	-0.9955	0.2293849	SH3BP4	SH3 domain binding protein 4
GI_41327774-S	1.15e-03	5.65e-04	347.833	-0.99745	0.1607111	DDX47	DEAD-box helicase 47
GI_13236552-S	1.15e-03	5.66e-04	3.477.787	-0.99926	0.1621445	NOL12	nucleolar protein 12
GI_42718019-S	1.15e-03	5.67e-04	347.775	-0.99938	0.2916315	RP9	retinitis pigmentosa 9 (autosomal dominant)
GI_12056472-S	1.17e-03	5.73e-04	-3.474.792	-100.926	-0.1813014	NANS	N-acetylneuraminate synthase
GI_28416432-S	1.17e-03	5.74e-04	3.473.972	-1.012	0.2641806	GIMAP4	GTPase, IMAP family member 4
GI_14589950-S	1.17e-03	5.74e-04	-3.473.917	-101.218	-0.2184532	POLR2E	RNA polymerase II subunit E
GI_34147632-S	1.18e-03	5.78e-04	347.229	-101.761	0.310305	PLK1	polo like kinase 1
GI_31543826-I	1.18e-03	5.79e-04	-3.471.866	-101.903	-0.3617728	TSC22D1	TSC22 domain family member 1
GI_45439366-S	1.18e-03	5.80e-04	3.471.301	-102.091	0.3286469	GJC2	gap junction protein gamma 2
GI_34147607-S	1.18e-03	5.81e-04	3.471.013	-102.187	0.1007163	NOSIP	nitric oxide synthase interacting protein
GI_4505888-A	1.19e-03	5.84e-04	3.469.474	-1.027	0.1877968	PLOD2	procollagen-lysine,2-oxoglutarate 5-dioxygenase 2
GI_20070301-S	1.19e-03	5.85e-04	3.468.894	-102.894	0.2185315	DOK4	docking protein 4
GI_19115957-A	1.19e-03	5.86e-04	-3.468.245	-10.311	-0.3078713	SLC39A4	solute carrier family 39 member 4
GI_31543079-S	1.19e-03	5.88e-04	-3.467.434	-10.338	-0.1312665	RNF149	ring finger protein 149
GI_34222374-S	1.20e-03	5.89e-04	3.466.942	-103.544	0.2553513	BRICD5	BRICHOS domain containing 5
GI_34147622-S	1.20e-03	5.91e-04	-3.465.825	-103.916	-0.1883889	RPA2	replication protein A2
GI_33695118-S	1.20e-03	5.92e-04	-3.465.367	-104.069	-0.206236	PAPSS1	3'-phosphoadenosine 5'-phosphosulfate synthase 1
GI_40788009-S	1.20e-03	5.93e-04	3.465.063	-10.417	0.2547152	CD55	CD55 molecule (Cromer blood group)
GI_34761063-S	1.20e-03	5.94e-04	3.464.527	-104.349	0.1406644	PIK3C3	phosphatidylinositol 3-kinase catalytic subunit type 3
GI_37538415-S	1.21e-03	5.95e-04	3.464.235	-104.446	0.1808378	NACAD	NAC alpha domain containing
GI_39777617-I	1.22e-03	6.02e-04	-346.099	-105.525	-0.1742663	SYNGR1	synaptogyrin 1
GI_31543930-S	1.22e-03	6.03e-04	3.460.393	-105.724	0.2754086	VAMP5	vesicle associated membrane protein 5
GI_22748830-S	1.23e-03	6.06e-04	-3.459.284	-106.093	-0.1912928	TMEM237	transmembrane protein 237
GI_21361869-A	1.23e-03	6.07e-04	3.458.553	-106.336	0.2351698	AKIP1	A-kinase interacting protein 1
GI_21314759-S	1.23e-03	6.10e-04	3.457.434	-106.708	0.1300799	ZBTB45	zinc finger and BTB domain containing 45
GI_39725648-S	1.24e-03	6.13e-04	345.578	-107.257	0.2553265	PAGR1	PAXIP1 associated glutamate rich protein 1
GI_12408674-S	1.25e-03	6.17e-04	-3.454.171	-107.792	-0.126423	PFDN2	prefoldin subunit 2
GI_28373083-A	1.25e-03	6.17e-04	-345.386	-107.895	-0.1461294	ST3GAL3	ST3 beta-galactoside alpha-2,3-sialyltransferase 3
GI_4502162-S	1.25e-03	6.19e-04	345.336	-108.061	0.2547373	APOD	apolipoprotein D
GI_22027647-S	1.25e-03	6.19e-04	3.452.998	-108.181	0.1343069	LPIN1	lipin 1
GI_22538425-A	1.26e-03	6.21e-04	345.215	-108.463	0.2340884	TRAF3IP2	TRAF3 interacting protein 2
GI_32528305-S	1.26e-03	6.22e-04	3.451.951	-108.528	0.1511555	RFC1	replication factor C subunit 1
GI_22748834-S	1.26e-03	6.22e-04	-3.451.843	-108.564	-0.3967216	TMEM178A	transmembrane protein 178A
GI_39725947-S	1.26e-03	6.22e-04	3.451.803	-108.578	0.1544356	HINFP	histone H4 transcription factor
GI_27436903-S	1.27e-03	6.27e-04	344.979	-109.245	0.1716647	MRPL23	mitochondrial ribosomal protein L23
GI_15011921-S	1.27e-03	6.28e-04	3.448.973	-109.516	0.096223	DKC1	dyskerin pseudouridine synthase 1
GI_19923408-S	1.27e-03	6.29e-04	-3.448.863	-109.552	-0.1891049	SERP1	stress-associated endoplasmic reticulum protein 1
